Team,Phase of Play,Action,Quarter,Lane,Zone,Count
away,defensive transition,pass missed,fourth,5,4,0
away,defensive transition,pass missed,fourth,1,3,0
away,defensive transition,pass missed,fourth,2,3,0
away,defensive transition,pass missed,fourth,3,3,1
away,defensive transition,pass missed,fourth,4,3,0
away,defensive transition,pass missed,fourth,5,3,2
away,defensive transition,pass missed,fourth,1,2,0
away,defensive transition,pass missed,fourth,2,2,1
away,defensive transition,pass missed,fourth,3,2,0
away,defensive transition,pass missed,fourth,4,2,0
away,defensive transition,pass missed,fourth,5,2,2
away,defensive transition,pass missed,fourth,1,1,0
away,defensive transition,pass missed,fourth,2,1,0
away,defensive transition,pass missed,fourth,3,1,0
away,defensive transition,pass missed,fourth,4,1,1
away,defensive transition,pass missed,fourth,5,1,0
away,defensive transition,pass intercepted/fouled,first,1,4,0
away,defensive transition,pass intercepted/fouled,first,2,4,0
away,defensive transition,pass intercepted/fouled,first,3,4,0
away,defensive transition,pass intercepted/fouled,first,4,4,0
away,defensive transition,pass intercepted/fouled,first,5,4,0
away,defensive transition,pass intercepted/fouled,first,1,3,0
away,defensive transition,pass intercepted/fouled,first,2,3,1
away,defensive transition,pass intercepted/fouled,first,3,3,0
away,defensive transition,pass intercepted/fouled,first,4,3,0
away,defensive transition,pass intercepted/fouled,first,5,3,0
away,defensive transition,pass intercepted/fouled,first,1,2,0
away,defensive transition,pass intercepted/fouled,first,2,2,1
away,defensive transition,pass intercepted/fouled,first,3,2,0
away,defensive transition,pass intercepted/fouled,first,4,2,0
away,defensive transition,pass intercepted/fouled,first,5,2,0
away,defensive transition,pass intercepted/fouled,first,1,1,1
away,defensive transition,pass intercepted/fouled,first,2,1,3
away,defensive transition,pass intercepted/fouled,first,3,1,0
away,defensive transition,pass intercepted/fouled,first,4,1,2
away,defensive transition,pass intercepted/fouled,first,5,1,0
away,defensive transition,pass intercepted/fouled,second,1,4,0
away,defensive transition,pass intercepted/fouled,second,2,4,0
away,defensive transition,pass intercepted/fouled,second,3,4,0
away,defensive transition,pass intercepted/fouled,second,4,4,0
away,defensive transition,pass intercepted/fouled,second,5,4,1
away,defensive transition,pass intercepted/fouled,second,1,3,1
away,defensive transition,pass intercepted/fouled,second,2,3,0
away,defensive transition,pass intercepted/fouled,second,3,3,1
away,defensive transition,pass intercepted/fouled,second,4,3,2
away,defensive transition,pass intercepted/fouled,second,5,3,0
away,defensive transition,pass intercepted/fouled,second,1,2,0
away,defensive transition,pass intercepted/fouled,second,2,2,0
away,defensive transition,pass intercepted/fouled,second,3,2,0
away,defensive transition,pass intercepted/fouled,second,4,2,0
away,defensive transition,pass intercepted/fouled,second,5,2,0
away,defensive transition,pass intercepted/fouled,second,1,1,0
away,defensive transition,pass intercepted/fouled,second,2,1,2
away,defensive transition,pass intercepted/fouled,second,3,1,3
away,defensive transition,pass intercepted/fouled,second,4,1,2
away,defensive transition,pass intercepted/fouled,second,5,1,0
