Zone,Austria,Canada,Czech_Republic,Finland,Germany,Russia,Switzerland,Slovakia,Sweden,USA,Total
one,0,7,0,3,2,0,0,0,3,3,18
two,0,1,1,0,1,0,0,0,0,0,3
three,0,5,0,2,2,4,1,0,3,6,23
four,0,4,3,2,1,1,0,1,0,3,15
five,0,1,0,2,1,0,0,0,0,0,4
six,1,1,2,4,0,2,0,1,0,2,13
seven,0,6,0,1,3,3,1,1,0,9,24
eight,0,5,1,2,2,3,1,2,3,2,21
nine,0,3,3,0,2,3,2,0,5,0,18
